State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.3972293914007604	0.5290431937274653	0.019185353483452735	0.014145478834500763	8.404444692709137E-4	0.02398010264366972	0.0016175888407329252	0.003248565582127338	6.13621566615324E-4	0.01009625945140455
2	0.004087270370890551	0.9845816486803971	0.0019456078065382312	9.195803773540467E-4	0.0	0.006765067963906445	5.092946904557367E-5	9.656185979994531E-4	2.5475002749491006E-5	6.588017311190107E-4
3	0.0031657974694203847	0.040005320138803084	0.9473488082563968	0.0	2.371580723023084E-4	7.019705441462958E-4	0.0	0.0	0.0	0.008540945518931121
4	0.0011706167723384228	0.010234167305316953	0.0	0.9715982269022096	0.00872023992640251	0.004427295880429956	1.8848634117530475E-7	0.0029358774021196006	1.2011523297825956E-5	9.013758015437895E-4
5	6.179282720941117E-4	0.0	0.0019475002790183004	0.1212772595800591	0.8390472064912395	0.009007363489794893	0.0112306489331466	0.0	0.0017225237235187593	0.015149569231128725
6	0.005610933454724022	0.2016198375975316	0.0010066378154894575	0.01216473742132817	0.0017240120306613754	0.6993253063436021	0.03969509032492727	0.01825293869460498	6.999518735635701E-4	0.019900554443567618
7	0.0015030413669447906	0.004438692373009756	0.0	1.019144947035293E-4	0.006898647013347177	0.11437524375192935	0.7022206290439144	0.14789023324187223	0.021385483777231633	0.0011861149370472827
8	0.002329599320694983	0.10331849926624946	0.0	0.029212795731252524	0.0	0.0671321145360918	0.18786011440440892	0.6089938645664283	0.0011530121748740314	0.0
9	5.93461970942369E-4	0.0030009000173991003	0.0	7.244601267448774E-5	0.0015917281085802812	0.002594747942057337	0.028930242185018055	0.001165783635824636	0.8423173257814338	0.11973336434606996
10	0.006391819646780146	0.057845197500717246	0.03788155288265746	0.0080569567552358	0.009389223931896425	0.059284510709671855	0.0017140792084034163	0.0	0.09080793435490458	0.7286287250097327
